ID,Category,Name,Description,Year,Link,License,PDF
1343913,cv,Brian Tumor Dataset,X-Ray images of Brain,2021,https://www.kaggle.com/datasets/preetviradiya/brian-tumor-dataset,GPL 2,Kaggle
3442424,cv,Butterfly Image Classification,Identify the class to which each butterfly belongs to,2024,https://www.kaggle.com/datasets/phucthaiv02/butterfly-image-classification,CC0: Public Domain,Kaggle
6569697,cv,Crop Damage Classification Dataset (CDC Dataset),Binary Classification of Damaged vs Non-damaged Crop Images,2025,https://www.kaggle.com/datasets/tanvirnwu/crop-damage-classification-dataset-cdc-dataset,MIT,Kaggle
4296838,cv,Bone Fracture Detection: Computer Vision Project,Object Detection By YOLO,2024,https://www.kaggle.com/datasets/pkdarabi/bone-fracture-detection-computer-vision-project,Attribution 4.0 International (CC BY 4.0),Kaggle
930614,cv,CVC-ClinicDB,Dataset of Endoscopic Colonoscopy Frames for Polyp Detection,2020,https://www.kaggle.com/datasets/balraj98/cvcclinicdb,Other (specified in description),Kaggle
6734558,cv,"Infrared Face Recognition Dataset - 125,500+ image","Dataset contains 125,000 images, including infrared, from 4,484 individuals ",2025,https://www.kaggle.com/datasets/unidatapro/infrared-face-recognition-dataset,Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0),Kaggle
3041726,cv,CIFAKE: Real and AI-Generated Synthetic Images,Can Computer Vision detect when images have been generated by AI?,2023,https://www.kaggle.com/datasets/birdy654/cifake-real-and-ai-generated-synthetic-images,Other (specified in description),Kaggle
6815819,cv,American Sign Language Dataset ,A diverse ASL dataset with multiple angles and landmark detection,2025,https://www.kaggle.com/datasets/iamavinashkr090502/asl-hand-landmark-and-gesture-dataset,CC BY-SA 4.0,Kaggle
6789413,cv,ShutterStock Dataset for AI vs Human-Gen. Image,Analyzing AI-Generated vs. Human-Created Images Using ShutterStock Data,2025,https://www.kaggle.com/datasets/shreyasraghav/shutterstock-dataset-for-ai-vs-human-gen-image,"Database: Open Database, Contents: Database Contents",Kaggle
6709844,cv,CitDet-YOLO,High-resolution citrus fruit dataset for detection and yield estimation.,2025,https://www.kaggle.com/datasets/andresmgs/citdet-yolo,Attribution 4.0 International (CC BY 4.0),Kaggle
6674576,cv,ULID25k, Unsplash Lite Image Dataset,2025,https://www.kaggle.com/datasets/chubercik/ulid25k,Other (specified in description),Kaggle
667852,cv,Animal Faces,"16,130 images belonging to 3 classes.",2020,https://www.kaggle.com/datasets/andrewmvd/animal-faces,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),Kaggle
